"","Spe","Sen"
"1",1,0.0305732484076433
"2",1,0.211464968152866
"3",1,0.280254777070064
"4",1,0.280254777070064
"5",0.998591549295775,0.408917197452229
"6",0.988732394366197,0.49171974522293
"7",0.971830985915493,0.601273885350318
"8",0.95774647887324,0.726114649681529
"9",0.943661971830986,0.789808917197452
"10",0.92112676056338,0.807643312101911
"11",0.88169014084507,0.867515923566879
"12",0.864788732394366,0.867515923566879
"13",0.84225352112676,0.867515923566879
"14",0.82112676056338,0.867515923566879
"15",0.756338028169014,0.913375796178344
"16",0.692957746478873,0.936305732484076
"17",0.585915492957746,0.977070063694268
"18",0.449295774647887,0.977070063694268
"19",0.298591549295775,1
"20",0,1
"21",0,1
"22",0,1
"23",0,1
