"","Spe","Sen"
"1",0,0.239797709112896
"2",0.00762820507477554,0.220297469089909
"3",0.0136554362180742,0.203259575290962
"4",0.0191224524454613,0.223588653738447
"5",0.0352300419432011,0.193333524523294
"6",0.0428595043794449,0.187434384099428
"7",0.057055293240927,0.17118952711211
"8",0.0628932776387778,0.140277857834647
"9",0.076420619528172,0.141659258544081
"10",0.0840283783377077,0.126775595461144
"11",0.0828754862887714,0.109168332665623
"12",0.0798812184374345,0.109168332665623
"13",0.0796615534781931,0.105078168801535
"14",0.0815199781886636,0.105078168801535
"15",0.0742704604984484,0.0936110729726055
"16",0.0655194554907775,0.0857959655565999
"17",0.0564845512465538,0.045859872611465
"18",0.0402333995974245,0.045859872611465
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
