"","Spe","Sen"
"1",0.0319800682928195,0.0427221382678105
"2",0.0406313549735565,0.0446163075552058
"3",0.0663285746946455,0.0431212229545434
"4",0.0894363116576952,0.0403732121409926
"5",0.102224589258326,0.040036856276257
"6",0.0915312369332108,0.0178141630262446
"7",0.0878323330228625,0.0168385393281515
"8",0.0771583067913339,0.0136938560480655
"9",0.0721845299296998,0.00851906694171502
"10",0.0393918816214141,0.00684692802403274
"11",0.0287881872615134,0.00794407088487036
"12",0.0224666405896815,0.00445354075656115
