"","Spe","Sen"
"1",0.0206198978929556,0.0689625887071313
"2",0.0355104659105177,0.0597584401787445
"3",0.0428517895914462,0.0615696610119469
"4",0.0772168460541739,0.0432824302011202
"5",0.0828754862887714,0.0324257417182617
"6",0.0778607040061141,0.0250440805749522
"7",0.0673852040220039,0.0205012445088294
"8",0.0607541487251474,0.017609286021014
"9",0.0544398537748949,0.0149963595638304
"10",0.0420574480449975,0.00880272290514984
"11",0.0307180052637664,0.00655772620445032
"12",0.0244357064407007,0.00280061697627875
