"","Spe","Sen"
"1",0,0.0161135167397115
"2",0,0.161994501529778
"3",0,0.207612483003518
"4",0,0.207612483003518
"5",0.00445391219742025,0.279994088367724
"6",0.0145464163237837,0.285967636775326
"7",0.0239390587492619,0.283901513590697
"8",0.0304260126685815,0.13631168508938
"9",0.0414636660390979,0.168919951430285
"10",0.0475083967724827,0.18159507606697
"11",0.068099396674061,0.149430606864868
"12",0.0693819838569433,0.149430606864868
"13",0.079895013657024,0.149430606864868
"14",0.0810590266709681,0.149430606864868
"15",0.105409255338946,0.11279461717798
"16",0.0963985935602674,0.103490935090904
"17",0.108327674458889,0.0725108253287017
"18",0.0899278587046829,0.0725108253287017
"19",0.0632671569123869,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
