"","Spe","Sen"
"1",1,0.357707006369427
"2",0.996056338028169,0.486369426751592
"3",0.989295774647887,0.554904458598726
"4",0.978591549295775,0.587261146496815
"5",0.92169014084507,0.76484076433121
"6",0.88,0.807133757961783
"7",0.818028169014084,0.84
"8",0.763943661971831,0.865987261146497
"9",0.714929577464789,0.884331210191083
"10",0.668732394366197,0.91031847133758
"11",0.606197183098591,0.926624203821656
"12",0.580281690140845,0.926624203821656
"13",0.554366197183099,0.935796178343949
"14",0.526760563380282,0.935796178343949
"15",0.452957746478873,0.954140127388535
"16",0.392112676056338,0.963312101910828
"17",0.256338028169014,0.990828025477707
"18",0.127887323943662,0.990828025477707
"19",0,1
"20",0,1
"21",0,1
"22",0,1
"23",0,1
